resume_id,resume_text,job_id,job_description
1,"Experienced Laravel developer with 4 years of expertise in PHP, MySQL, and RESTful API development. Proficient in building scalable web applications and optimizing backend performance.","101","Seeking a Laravel developer with strong PHP and MySQL skills to build robust web applications."
2,"Python developer with 5 years of experience in Django and Flask frameworks. Skilled in developing secure APIs and automating data pipelines.","102","Hiring a Python developer with Django expertise for backend development and API integration."
3,"Frontend developer with 3 years of experience in React, JavaScript, and TypeScript. Adept at creating responsive and user-friendly interfaces.","103","Looking for a React developer to create dynamic and responsive frontend interfaces."
4,"Data analyst with proficiency in Python, SQL, and Tableau. Experienced in data visualization and statistical analysis for business insights.","104","Seeking a data analyst with Python and SQL skills to generate actionable insights."
5,"Mobile app developer with 4 years of experience in Flutter and Dart. Skilled in building cross-platform apps with seamless UI/UX.","105","Hiring a Flutter developer for cross-platform mobile app development."
6,"Full-stack developer with expertise in Node.js, Express, and MongoDB. Built scalable applications for e-commerce platforms.","106","Looking for a full-stack developer with Node.js and MongoDB experience for e-commerce solutions."
7,"DevOps engineer with 5 years of experience in AWS, Docker, and Kubernetes. Proficient in CI/CD pipeline automation.","107","Seeking a DevOps engineer to manage AWS infrastructure and CI/CD pipelines."
8,"Machine learning engineer with expertise in TensorFlow and Python. Developed predictive models for financial applications.","108","Hiring a machine learning engineer to build AI-driven predictive models."
9,"Backend developer with 3 years of experience in Ruby on Rails and PostgreSQL. Focused on secure and efficient API development.","109","Looking for a Ruby on Rails developer for backend API development."
10,"UI/UX designer with 4 years of experience in Figma and Adobe XD. Skilled in creating intuitive user interfaces.","110","Seeking a UI/UX designer to craft user-friendly interfaces using Figma."
11,"Software engineer with 6 years of experience in Java and Spring Boot. Built high-performance enterprise applications.","111","Hiring a Java developer with Spring Boot expertise for enterprise solutions."
12,"Data scientist with proficiency in R, Python, and machine learning. Experienced in predictive modeling and data analysis.","112","Looking for a data scientist to develop machine learning models for business analytics."
13,"Cloud architect with 5 years of experience in Azure and Terraform. Designed scalable cloud infrastructures.","113","Seeking a cloud architect to design and manage Azure-based solutions."
14,"Frontend developer with expertise in Angular and TypeScript. Built interactive web applications for SaaS platforms.","114","Hiring an Angular developer for frontend development of SaaS products."
15,"Cybersecurity analyst with 4 years of experience in threat detection and penetration testing. Proficient in SIEM tools.","115","Looking for a cybersecurity analyst to enhance security protocols."
16,"Database administrator with expertise in MySQL and MongoDB. Optimized database performance for high-traffic applications.","116","Seeking a database administrator to manage and optimize MySQL databases."
